incident_id,created_date,resolved_date,status,priority,resolution_time,category_id,service_id,client_id
1,2024-07-28 02:12:24,,In Progress,Low,,4,2,19
2,2024-06-24 07:31:21,,Open,High,,1,4,11
3,2024-10-18 16:58:05,,In Progress,Low,,2,5,18
4,2024-08-23 10:50:29,,Open,High,,3,5,38
5,2024-03-10 00:17:37,2024-03-10 20:17:37,Closed,High,72000.0,2,4,53
6,2024-01-05 06:30:26,,In Progress,Critical,,2,2,94
7,2024-09-08 16:10:22,2024-09-08 17:10:22,Closed,High,3600.0,3,5,8
8,2024-04-19 22:45:03,2024-04-20 05:45:03,Resolved,High,25200.0,4,4,89
9,2024-01-02 02:56:53,2024-01-02 06:56:53,Resolved,Critical,14400.0,3,4,43
10,2024-10-24 20:33:39,,Open,Low,,1,2,86
11,2024-02-11 18:10:06,,Open,High,,2,2,2
12,2024-10-30 18:26:48,,Open,Critical,,3,3,79
13,2024-08-02 18:00:09,2024-08-02 20:00:09,Resolved,Critical,7200.0,4,3,79
14,2024-03-15 11:27:33,2024-03-15 22:27:33,Resolved,High,39600.0,1,4,14
15,2024-02-07 16:42:00,2024-02-08 03:42:00,Resolved,High,39600.0,1,1,33
16,2024-02-19 08:04:42,,Open,High,,4,4,91
17,2024-09-16 05:00:16,2024-09-18 02:00:16,Closed,Medium,162000.0,1,5,13
18,2024-08-03 07:32:27,2024-08-04 02:32:27,Resolved,High,68400.0,4,4,44
19,2024-09-21 04:38:16,,In Progress,Medium,,1,3,51
20,2024-05-20 18:51:10,2024-05-23 07:51:10,Closed,Medium,219600.0,2,3,56
21,2024-10-08 11:40:39,2024-10-09 02:40:39,Resolved,High,54000.0,4,2,12
22,2024-10-21 18:31:53,,In Progress,Medium,,1,1,74
23,2024-06-04 01:32:50,,Open,High,,3,4,66
24,2024-04-03 13:40:19,,Open,Low,,3,5,8
25,2024-01-14 18:49:59,,In Progress,Critical,,1,1,89
26,2024-06-21 13:45:41,2024-06-21 15:45:41,Closed,Critical,7200.0,3,5,2
27,2024-07-08 00:14:27,2024-07-08 01:14:27,Closed,Critical,3600.0,1,2,57
28,2024-04-30 23:15:55,2024-05-02 03:15:55,Resolved,Medium,100800.0,3,1,11
29,2024-05-11 09:21:18,,Open,High,,1,3,56
30,2024-09-06 08:47:06,2024-09-06 12:47:06,Closed,Critical,14400.0,2,5,14
31,2024-08-16 13:18:49,,Open,Critical,,4,4,19
32,2024-03-05 12:34:06,2024-03-06 19:34:06,Closed,Medium,111600.0,2,5,26
33,2024-10-29 22:29:46,,In Progress,High,,3,5,96
34,2024-10-26 02:38:45,,Open,High,,2,4,16
35,2024-04-05 22:12:16,2024-04-09 17:12:16,Resolved,Low,327600.0,3,1,98
36,2024-07-02 17:40:31,,Open,Low,,1,4,92
37,2024-07-22 04:32:43,,Open,Critical,,1,4,68
38,2024-02-01 02:12:18,2024-02-01 04:12:18,Closed,High,7200.0,4,1,87
39,2024-02-23 09:50:58,,In Progress,Low,,1,5,21
40,2024-04-21 17:12:11,2024-04-23 04:12:11,Resolved,Medium,126000.0,1,3,97
41,2024-03-05 10:22:58,,In Progress,Critical,,1,3,79
42,2024-01-12 19:58:14,2024-01-12 20:58:14,Closed,Critical,3600.0,1,2,32
43,2024-06-29 06:11:09,,In Progress,High,,3,3,13
44,2024-05-27 08:31:08,,Open,High,,3,1,28
45,2024-04-11 12:56:25,,In Progress,Medium,,4,5,62
46,2024-02-22 18:46:17,,Open,Critical,,2,3,31
47,2024-02-16 18:26:45,,Open,High,,1,3,39
48,2024-09-22 09:25:07,2024-09-28 08:25:07,Resolved,Low,514800.0,1,5,60
49,2024-08-03 15:13:31,,In Progress,High,,4,1,80
50,2024-09-18 22:32:15,2024-09-19 01:32:15,Resolved,Critical,10800.0,2,4,60
51,2024-06-25 03:51:12,,Open,Critical,,3,4,3
52,2024-10-24 05:43:16,,In Progress,Low,,3,1,13
53,2024-06-07 07:14:45,,In Progress,High,,3,4,72
54,2024-06-22 10:22:23,2024-06-23 08:22:23,Closed,High,79200.0,3,1,100
55,2024-03-10 10:50:24,2024-03-13 23:50:24,Resolved,Low,306000.0,1,2,55
56,2024-09-19 21:06:22,,Open,Low,,2,3,72
57,2024-01-06 07:00:27,,In Progress,High,,1,3,31
58,2024-07-19 15:21:58,,In Progress,Critical,,3,2,9
59,2024-02-27 10:43:34,,Open,Medium,,4,5,78
60,2024-05-31 19:28:01,2024-06-05 09:28:01,Resolved,Low,396000.0,4,5,36
61,2024-10-22 00:57:13,,Open,High,,1,5,33
62,2024-08-12 11:40:28,,Open,Low,,3,1,40
63,2024-06-26 18:23:43,,Open,Medium,,4,2,86
64,2024-03-08 21:36:10,,In Progress,Critical,,4,3,40
65,2024-08-12 13:49:32,2024-08-15 12:49:32,Resolved,Medium,255600.0,1,5,87
66,2024-10-13 17:27:24,2024-10-14 16:27:24,Closed,Low,82800.0,3,2,22
67,2024-03-14 19:16:08,,In Progress,Medium,,1,1,79
68,2024-08-16 21:04:08,2024-08-16 23:04:08,Closed,Critical,7200.0,3,5,92
69,2024-03-11 20:36:10,2024-03-12 11:36:10,Resolved,High,54000.0,2,2,35
70,2024-04-06 22:45:01,,Open,Critical,,1,5,7
71,2024-01-22 16:12:31,2024-01-24 11:12:31,Closed,Low,154800.0,1,1,72
72,2024-08-04 10:32:59,,In Progress,High,,4,2,35
73,2024-02-16 04:57:52,2024-02-18 23:57:52,Closed,Medium,241200.0,4,2,80
74,2024-08-27 11:16:37,2024-08-28 14:16:37,Closed,Medium,97200.0,3,5,94
75,2024-02-10 21:06:27,,Open,Low,,4,4,57
76,2024-03-29 17:03:34,2024-03-31 05:03:34,Resolved,Medium,129600.0,2,1,99
77,2024-09-13 11:55:58,2024-09-13 15:55:58,Closed,Critical,14400.0,3,1,30
78,2024-09-14 17:36:30,2024-09-15 06:36:30,Resolved,High,46800.0,2,5,73
79,2024-10-23 00:28:56,,Open,Low,,4,4,97
80,2024-08-01 19:47:55,2024-08-06 23:47:55,Resolved,Low,446400.0,3,2,64
81,2024-06-09 11:17:51,,Open,Critical,,1,1,90
82,2024-07-30 19:54:22,2024-08-02 16:54:22,Resolved,Medium,248400.0,4,1,53
83,2024-08-14 11:21:46,2024-08-20 09:21:46,Resolved,Low,511200.0,3,4,84
84,2024-08-08 15:34:25,2024-08-08 23:34:25,Closed,Medium,28800.0,2,5,54
85,2024-07-20 15:43:23,,Open,Medium,,1,1,57
86,2024-07-07 09:23:32,,Open,Low,,3,2,99
87,2024-03-02 07:43:47,,Open,High,,4,4,52
88,2024-02-23 02:19:55,2024-02-23 05:19:55,Resolved,Critical,10800.0,2,3,5
89,2024-05-15 23:30:19,2024-05-16 02:30:19,Closed,Critical,10800.0,1,2,63
90,2024-09-04 02:44:57,,Open,High,,2,2,70
91,2024-09-26 17:02:02,2024-09-26 19:02:02,Resolved,Critical,7200.0,4,3,17
